"product";"rep";"subject";"descriptor";"start";"score";"duration";"stop";"sequenceStart";"sequenceStop";"sequenceDuration";"stdStart";"stdDuration";"stdStop"
"C4";"1";"A56";"Bland";9;1;5.343;14;9.139;14.482;5.343;0.62;0.37;0.99
"C4";"1";"A59";"Bland";1;1;1.758;3;1.052;2.81;1.758;0.36;0.63;0.99
"C4";"1";"A60";"Potato";7;1;2.336;10;7.491;48.459;40.968;0.14;0.05;0.19
"C4";"1";"A60";"Bland";14;1;7.648;22;7.491;48.459;40.968;0.29;0.16;0.45
"C4";"1";"A60";"Roasted";22;1;2.888;25;7.491;48.459;40.968;0.45;0.06;0.51
"C4";"1";"A60";"Sticky_Pasty";10;1;2.408;12;7.491;48.459;40.968;0.21;0.05;0.26
"C4";"1";"A60";"Roasted";12;1;2;14;7.491;48.459;40.968;0.25;0.04;0.29
"C4";"1";"A60";"Fat";38;1;4.273;42;7.491;48.459;40.968;0.78;0.09;0.87
"C4";"1";"A60";"Bland";42;1;5.97600000000001;48;7.491;48.459;40.968;0.87;0.12;0.99
"C4";"1";"A60";"Potato";25;1;5.345;30;7.491;48.459;40.968;0.52;0.11;0.63
"C4";"1";"A60";"Sticky_Pasty";30;1;8.094;38;7.491;48.459;40.968;0.62;0.17;0.79
"C4";"1";"A61";"Crispy";2;1;4.151;6;1.791;18.638;16.847;0.11;0.22;0.33
"C4";"1";"A61";"Bland";6;1;3.656;10;1.791;18.638;16.847;0.32;0.2;0.52
"C4";"1";"A61";"Bland";10;1;2.511;12;1.791;18.638;16.847;0.54;0.13;0.67
"C4";"1";"A61";"Bland";12;1;6.529;19;1.791;18.638;16.847;0.64;0.35;0.99
"C4";"1";"A62";"Fat";4;1;5.722;10;4.489;25.32;20.831;0.16;0.23;0.39
"C4";"1";"A62";"Bland";23;1;2.662;25;4.489;25.32;20.831;0.91;0.11;1.02
"C4";"1";"A62";"Bland";10;1;5.575;16;4.489;25.32;20.831;0.39;0.22;0.61
"C4";"1";"A62";"Melting";16;1;4;20;4.489;25.32;20.831;0.63;0.16;0.79
"C4";"1";"A62";"Fat";20;1;2.872;23;4.489;25.32;20.831;0.79;0.11;0.9
"C4";"1";"A64";"Sticky_Pasty";14;1;2.744;17;3.735;27.055;23.32;0.52;0.1;0.62
"C4";"1";"A64";"Crackly_Hard";4;1;1.841;6;3.735;27.055;23.32;0.15;0.07;0.22
"C4";"1";"A64";"Melting";6;1;2.234;8;3.735;27.055;23.32;0.22;0.08;0.3
