file;prod;suj;rep;resp;miseEnBouche_s;finTimeSens_s;finPTR_s;product;subject
CSCA111_S011_7.txt;NA;S011;2;m69.06906..69.06906...Conc.;37.83506963;84.062;136.7115026;C;S011
CSCA111_S013_2.txt;NA;S013;1;m69.06906..69.06906...Conc.;0.164262776;67.417;120.610162;B;S013
CSCA111_S013_3.txt;NA;S013;1;m69.06906..69.06906...Conc.;32.22087246;64.898;116.6098242;A;S013
CSCA111_S013_4.txt;NA;S013;1;m69.06906..69.06906...Conc.;0.343358062;79.532;133.6112559;C;S013
CSCA111_S013_5.txt;NA;S013;2;m69.06906..69.06906...Conc.;4.071270627;110.185;158.4633496;C;S013
CSCA111_S013_6.txt;NA;S013;2;m69.06906..69.06906...Conc.;33.22088019;65.871;123.9104381;A;S013
CSCA111_S013_7.txt;NA;S013;2;m69.06906..69.06906...Conc.;35.97733574;104.059;156.0131424;B;S013
CSCA112_S008_2.txt;NA;S008;1;m69.06906..69.06906...Conc.;38.10096658;93.162;147.4124186;A;S008
CSCA112_S008_3.txt;NA;S008;1;m69.06906..69.06906...Conc.;36.28677834;84.436;130.3109763;B;S008
CSCA112_S008_4.txt;NA;S008;1;m69.06906..69.06906...Conc.;39.31535259;82.26;136.4614928;C;S008
CSCA112_S008_5.txt;NA;S008;2;m69.06906..69.06906...Conc.;34.07930626;85.934;139.6117561;C;S008
CSCA112_S008_6.txt;NA;S008;2;m69.06906..69.06906...Conc.;40.14127607;83.374;139.4617422;B;S008
CSCA112_S008_7.txt;NA;S008;2;m69.06906..69.06906...Conc.;38.77395962;72.398;124.8105071;A;S008
CSCA112_S010_2.txt;NA;S010;1;m69.06906..69.06906...Conc.;36.49722626;68.043;124.5604854;A;S010
CSCA112_S010_3.txt;NA;S010;1;m69.06906..69.06906...Conc.;33.12872787;73.961;124.7104969;C;S010
CSCA112_S010_4.txt;NA;S010;1;m69.06906..69.06906...Conc.;33.74966237;73.501;130.811009;B;S010
CSCA112_S010_5.txt;NA;S010;2;m69.06906..69.06906...Conc.;36.12105059;76.804;128.4108053;C;S010
CSCA112_S010_6.txt;NA;S010;2;m69.06906..69.06906...Conc.;28.92812992;78.555;135.3113843;A;S010
CSCA112_S010_7.txt;NA;S010;2;m69.06906..69.06906...Conc.;0.20894863;78.53;129.7109113;B;S010
